No,Id,Name,Text,Task type,Faction,Reward money,Reward item
11,"esc_stalker_enemy","Вернуть доверие сталкеров","Отношения с группировкой сталкеров испорчены. Необходимо вернуть доверие сталкеров с помощью Сидоровича.","storyline","","",""
12,"agr_recover_item_1","Вернуть дробовик долговцу","Есть такое дело, мы зачищали территорию от монстров и встретили здоровенную тварь. Бой длился не меньше часа, патроны были на исходе, а тварь всё ещё не думала дохнуть. Я дал команду отходить, а сам остался, чтобы задержать монстра, пока ребята отбегут на безопасное расстояние, отстрелял оставшиеся патроны и швырнул дробовик прямо ему в башку, так эта тварюка стала колбасить ствол, а на меня ноль внимания. Принеси мне мой дробовик, все-таки это оружие спасло мне жизнь.","additional","dolg","1000","wpn_pm_9x19"
13,"agr_recover_item_3","Вернуть кейс долговца","Наёмник, когда в подземелье начали появляться монстры, нам пришлось оставить свои позиции и отступить. Но там остался мой кейс, в котором лежат ценные для меня вещи: оружие, патроны, медикаменты, детектор. Всё это пришлось отставить, тогда нужно было быстро отходить, не до этого было, надо было спасать себя. Помоги достать кейс.","additional","dolg","2250","wpn_silencer_5.45x39:repair_arms_box:medkit_elite:skill_book_grom"
14,"mar_recover_item_5","Вернуть комбинезон","Недавно мы потеряли островок на Болотах, где проводили эксперименты с пропитыванием одежды всякими составами. Надо вернуть последний образец куртки, чтоб Каланча смог полностью оценить результаты эксперимента.","additional","csky","{~20} 1500,{~50} 1000,750","{~50} af_medusa"
15,"gar_recover_item_4","Вернуть куртку новичка","Пришёл к нам с Кордона недавно один паренёк, знаешь, из таких зелёных и жутко надоедливых. Он тут всем уши насквозь прожужжал про то, что его крутую куртку аномалии вообще не берут. Говорят, даже когда попал в лапы к бандитам, и то рот закрыть не мог, пока они его в грави не загнали. В общем, паренёк был прав, царство ему небесное, куртке - хоть бы хны. Думаю, я бы ей нашёл применение, если бы ты смог её вернуть.","additional","stalker","750","wild_drink:wild_drink"
16,"gar_quest_redemption","Вернуть свои вещи","Вернуть вещи, отобранные бандитами в подвале возле барахолки.","additional","","",""
17,"val_recover_item_2","Вернуть флешку с фильмом","Будь другом, помоги флешку вернуть. Недавно сидел я в нашем баре, с Ганжой новый фильм смотрели, у него там ноут имеется. Так нас комендант застукал, как разорался, чего, мол, не на посту, хотел ноут раздолбать, но ноут мы не дали, а вот флешку с фильмами он, сволочь, забрал и за забор кинул, туда, где радиация. Верни флешку, а Ганжа тебе награду определит.","additional","freedom","1500",""
18,"esc_bring_habar","Вернуть хабар торговцу","Необходимо вернуть кейс с хабаром торговцу","storyline","","",""
19,"red_recover_item_3","Вернуть экспериментальное устройство","Можешь вернуть одну вещь? Мы для ученых, проводили испытания одного прототипа, - это такой приборчик, с его помощью можно замерять мощность аномалий, но пока от него мало толку, нас два дня учили только тому, как показания снимать. Когда мы проводили замеры, в старой шахте, там что-то произошло, что-то напало на нас... в нас со всех сторон полетели предметы... выбраться наверх успел только я. Прибор остался у ребят внизу, их зашвырнуло в аномалии, и эта штука, которая на нас напала, наверняка всё еще там. Так что достать его теперь не просто, но если достанешь, то награду получишь хорошую.","additional","","3500","dolg_outfit"
20,"val_bandit_spy_return","Вернуться за наградой","Вы обнаружили и уничтожили отряд бандитов в здании заброшенной заправки. Осталось только рассказать об этом бармену.","additional","","",""
21,"lim_electro_fence_actor_come_back","Вернуться к командиру отряда","Необходимо вернуться к командиру отряда","storyline","","",""
22,"mar_tutorial_return_to_base","Вернуться на базу «Чистого неба»","Добраться до укрытия на базе «Чистого неба» до того, как грянет выброс","storyline","","",""
23,"val_take_pda","Взять КПК Коменданта","Подельники убили Коменданта после того, как на него была объявлена охота. На КПК Коменданта может содержаться важная информация о тех, с кем он сотрудничал.","storyline","","",""
24,"mar_story_talk_with_trader","Взять снаряжение у торговца","Получить комплект снаряжения у торговца","storyline","","",""
25,"gar_quest_get_old_pda","Взять старый КПК в лагере Свежака","Взять у Свежака в его лагере старый КПК для Дикого Напра. Если Свежака не будет на месте, взять КПК под ложным дном ящика с инструментами.","additional","","",""
26,"gar_quest_get_old_pda_box","Взять старый КПК в ящике с инструментами","Взять в лагере Свежака старый КПК для Дикого Напра. КПК должен находится под ложным дном ящика с инструментами.","additional","","",""
27,"mil_hires","Встретится с наёмниками в деревне","В заброшенной деревне находится отряд наёмников, которые разыскивают свой отряд, во время Большого выброса пропавший где-то под Лиманском. Наёмники могут дать более точную инфомрацию о месте, где самые оптимальные условия для радиопередачи. Необходимо встретится с этими людьми в деревне.","storyline","","",""
28,"mil_talk_2_fr_com","Встретится с отрядом «Свободы»","«Свобода» готовит атаку на базу военных для того, чтобы выбить их и организовать на военных складах собственную базу. Необходимо помочь отряду «Свободы» атаковать военных.","storyline","","",""
29,"yan_quest_levsha","Встретится с отрядом Левши","Группа сталкеров готовится пробиваться на территорию комплекса во время спада уровня пси-излучения. Нужно встретится с командиром группы - Левшой.","storyline","","",""
30,"mil_contact_with_clear_sky_commander","Встретиться с Лебедевым","Группа наёмников смогла выбраться из пространственного пузыря и движется в сторону моста у Лиманска. Передовой отряд «Чистого неба» уже там. Необходимо двигаться в сторону Рыжего леса и встретится с Лебедевым.","storyline","","",""
31,"gar_quest_meet_with_digger_fighters","Встретиться с группой диггеров","Встретиться с группой диггеров, чтобы повести их в атаку на концлагерь бандитов","additional","","",""
32,"esc_talk2_leader","Встретиться с лидером сталкеров","Встретиться с лидером сталкеров","storyline","","",""
33,"esc_reach_stalker_base","Встретиться со сталкерами за насыпью","Поговорить с командиром сталкеров Валерьяном. Именно он может знать подробности о хабаре, который ищет Сидорович.","storyline","","",""
34,"mil_actor_attack_house","Выбить военных из здания штаба","Отряд военных закрепился в здании штаба. Необходимо уничтожить их.","storyline","","",""
35,"stc_kill_gunslinger","Вывести из строя пси-защиту Стрелка","Уровень пси-излучения на станции зашкаливает, но Стрелок защищён от него прототипом. Если вывести из строя это устройство, Стрелка можно будет остановить. Электронику прототипа можно вывести из строя на расстоянии при помощи электромагнитного ружья.","storyline","","",""
36,"agru_go_out_end_task","Выйти из подземелья","Выбраться из подземелья","storyline","","",""
37,"mar_story_talk_with_commander_2","Выяснить у Лебедева, что произошло","Расспросить Лебедева о том, что произошло после второго выброса","storyline","","",""
38,"hosp_task_z2_exit","Двигаться в следующий зал","Взрыв от падающего вертолёта обвалил перекрытия и открыл проход в следующий зал. Необходимо двигаться дальше.","additional","","",""
39,"yan_main_quest_line","Держать позицию!","Держать позицию!","storyline","","",""
40,"hosp_task_sniper_back_rush_3","Добраться до моста","Необходимо добраться до моста. Двигаться по команде командира отряда «Чистого неба», когда те отвлекут огонь на себя.","additional","","",""
41,"agr_go_to_hole","Добраться до норы","Солдаты «Долга» заделали все входы-выходы подземки. Единственный шанс проникнуть внутрь - через норы мутантов, сквозь которые те вылезаюь на поверхность. Необходимо добраться до норы.","storyline","","",""
42,"gar_story_chase_pda_signal","Догнать Клыка","Догнать Клыка, следуя за сигналом его КПК","storyline","","",""
43,"mar_story_talk_with_commander_3","Договориться с Лебедевым о взаимопомощи","Договориться с Лебедевым о помощи при выходе с Болот","storyline","","","{-mar_tutorial_help_done -mar_tutorial_tower_top_done} flesh_up_a_novice_outfit"
44,"esc_dopros","Допросить командира военных","Допросить Халецкого и выяснить, где спрятан кейс с хабаром, который так необходим Сидоровичу","storyline","","",""
45,"val_deliver_pda","Доставить КПК Чехову","На КПК Коменданта осталось много информации, которая поможет «Свободе» разобраться, кто на них нападет и как попадает в Тёмную долину. Доставить КПК лидеру «Свободы».","storyline","","",""
46,"val_deliver_ammo","Доставить боеприпасы на форпост","Доставить боеприпасы на форпост","storyline","","",""
47,"mar_recover_item_3","Достать артефакт","Отряд «Чистого неба» поймал сигнал SOS от одного из сталкеров. Тот сообщал, что нашел редкий артефакт, однако не знает, как выбраться из аномалии, в которой очутился.. Отряд не успел прийти на помощь - сигнал вскоре пропал. Необходимо добыть артефакт.","additional","csky","{~20} 1500,{~50} 1150,900","bandit_outfit,wpn_silencer_9x18"
48,"mil_additional_quest_5","Забрать артефакт в деревне","Эта проклятая деревня, в которой кровососы возникают словно из-под земли. Почти никто не решается заходить туда, однако это место очень привлекательно для экстремалов: говорят, там живут самые жестокие и безжалостные кровососы во всей Зоне. Легенда гласит, что если их убить, то в одном из заброшенных домов можно будет забрать артефакт, равного которому нет в Зоне.","additional","","","wpn_g36:ammo_5.56x45_ap:ammo_5.56x45_ap:wpn_addon_grenade_launcher_m203"
49,"mil_additional_quest_4","Забрать артефакт у мётрвого сталкера","Один из наших сталкеров смог пробраться через болото с аномалиями, однако не смог вернуться. Принесёшь артефакт - получишь награду.","additional","stalker","4000",""
50,"gar_quest_get_traitor_pda","Забрать вещи с трупа Авоськи","Обыскать труп Авоськи и забрать всё, что представляет интерес","additional","","",""
51,"mil_additional_quest_1","Забрать груз военных у вертолёта","Неподалёку находится разбитый патрульный вертолёт военных. Ценные боеприпасы и оружие уцелели и они очень пригодятся при защите Барьера, где каждый ствол и каждый патрон на счету. К великому сожелению, пробраться туда очень сложно: эту местность контролируют «монолитовцы», к тому же оснащённых противорадиоционными костюмами, которых у нас нет.","additional","","2000",""
52,"gar_quest_captive_reward","Забрать добычу из тайника","Забрать добычу из старого тайника диггеров, освобождённых из концлагеря бандитов.","additional","","",""
53,"esc_additional_quest_4c","Забрать награду","Забрать награду у Волка","additional","","1500","wpn_abakan_up2"
54,"agr_additional_quest_7b","Забрать награду","Забрать награду у Платонова","additional","","","stalker_outfit_up_stalk:skill_book_colt1911"
55,"gar_quest_bandit_reward","Забрать награду у Зуба","Получить у барыги Зуба награду за зачистку Барахолки.","additional","","",""
56,"esc_take_weapon","Забрать оружие","Забрать оружие","additional","","",""
57,"gar_quest_bandit_secret","Забрать ствол из тайника в аномалии","Забрать из тайника в аномалии ствол, о котором говорил Йога.","additional","","",""
58,"esc_take_habar_1","Забрать хабар","Забрать хабар","storyline","","",""
59,"esc_take_habar_2","Забрать хабар","Забрать хабар","storyline","","",""
60,"esc_take_habar_3","Забрать хабар","Забрать хабар","storyline","","",""
61,"gar_quest_destroy_flea_market","Занять Барахолку вместе с бандитами","Устроить показательную расправу над диггерами на Барахолке и проследить, чтобы кто-нибудь из бандитов остался там в качестве охраны.","additional","","",""
62,"red_bridge_go_to_positon","Занять огневую позицию","Занять огневую позицию на втором этаже КПП. Это прекрасная огневая точка для обстрела бандитов.","storyline","","",""
63,"agru_leader_dolg_task","Затопить подземелья","В подземелье находится старя насосная установка для откачивания грунтовых вод. Необходимо найти пульт управление установкой и активировать сброс воды из резервуаров: это приведет к затоплению подземелий.","storyline","","",""
64,"sim_capture_smart","Захватить","Необходимо захватить и удержать под своим контролем указанный объект","","","600",""
65,"sim_capture_smart_csky","Захватить","Необходимо захватить и удержать под своим контролем указанный объект","","csky","{~50} 600,350","{~50} grenade_rgd5:ammo_9x18_pmm,medkit:bandage"
66,"sim_capture_smart_stalker","Захватить","Необходимо захватить и удержать под своим контролем указанный объект","","stalker","{~50} 900,650","{~50} grenade_rgd5:ammo_9x19_pbp:ammo_9x19_pbp,medkit:bandage"
67,"sim_capture_smart_bandit","Захватить","Необходимо захватить и удержать под своим контролем указанный объект","","bandit","{~50} 1750,1250","{~50} grenade_rgd5:ammo_11.43x23_hydro:ammo_11.43x23_hydro,medkit:bandage:bandage:bandage:bandage"
68,"sim_capture_smart_freedom","Захватить","Необходимо захватить и удержать под своим контролем указанный объект","","freedom","{~50} 2250,1750","{~50} ammo_5.56x45_ap:ammo_m209:ammo_m209:ammo_m209,medkit:medkit:bandage:bandage:bandage"
69,"sim_capture_smart_dolg","Захватить","Необходимо захватить и удержать под своим контролем указанный объект","","dolg","{~50} 2750,2250","{~50} ammo_9x39_ap:ammo_vog-25:ammo_vog-25:ammo_vog-25,medkit_army:medkit_army"
70,"val_capture_smart_7_8","Захватить антенны","Захватить и удержать антенны для сканирования поверхности земли","additional","","",""
71,"val_capture_smart_4_0","Захватить антенны","Захватить и удержать антенны для сканирования поверхности земли","additional","","",""
72,"mar_story_capture_levelchangers","Захватить подходы к тропам","Обезопасить тропы на Кордон и Агропром, захватив позиции возле них","storyline","","1500","medkit:ammo_5.45x39_ap:ammo_5.45x39_ap:flesh_up_bd_mp5"
73,"red_stalker_reinforced","Захватить старую шахту","Захватить старую шахту. В этом районе высокий уровень аномальной активности и множество редких артефактов.","additional","","3000",""
74,"mar_story_capture_bandit_base","Захватить ферму","Захватить ферму на северо-востоке Болот, выбив оттуда бандитов","storyline","","2500","{-mar_story_capture_bandit_base_reward} cs_light_outfit %+mar_story_capture_bandit_base_reward%,antirad,wpn_silencer_9x18"
75,"mil_defend_barrier","Защитить Барьер","Барьер снова атакован. Необходимо помочь сталкерам удержать его.","additional","","1000",""
76,"agr_defend_duty_base_1","Защитить базу «Долга»","База «Долга» атакована! Если поможешь отразить атаку, получишь вознаграждение.","additional","","1000",""
77,"esc_defend_stalkers_base","Защитить базу сталкеров","Защитить базу сталкеров от нападения","additional","","2000","ammo_12x70_buck:ammo_12x70_buck:ammo_5.45x39_fmj:ammo_5.45x39_fmj"
78,"sim_defend_smart","Защитить лагерь","На отряд напал противник. Необходимо помочь им отразить нападение.","","","750",""
79,"sim_defend_smart_csky","Защитить лагерь","На отряд напал противник. Необходимо помочь им отразить нападение.","","csky","{~50} 750,500","{~50} grenade_rgd5:ammo_9x19_pbp:ammo_9x19_pbp,medkit:antirad"
80,"sim_defend_smart_stalker","Защитить лагерь","На отряд напал противник. Необходимо помочь им отразить нападение.","","stalker","{~50} 1000,750","{~50} grenade_rgd5:ammo_12x76_dart:ammo_12x76_dart:ammo_12x76_dart:ammo_12x76_dart:ammo_12x76_dart,medkit:antirad"
81,"sim_defend_smart_bandit","Защитить лагерь","На отряд напал противник. Необходимо помочь им отразить нападение.","","bandit","{~50} 2000,1500","{~50} grenade_rgd5:grenade_rgd5:ammo_12x76_dart:ammo_12x76_dart:ammo_12x76_dart:ammo_12x76_dart:ammo_12x76_dart:ammo_12x76_dart,medkit:antirad"
82,"sim_defend_smart_freedom","Защитить лагерь","На отряд напал противник. Необходимо помочь им отразить нападение.","","freedom","{~50} 2500,2000","{~50} grenade_f1:ammo_7.62x54_7h1,medkit:medkit:antirad"
83,"sim_defend_smart_dolg","Защитить лагерь","На отряд напал противник. Необходимо помочь им отразить нападение.","","dolg","{~50} 3000,2500","{~50} grenade_f1:ammo_pkm_100,medkit_army:medkit_army:antirad"
84,"yan_actor_go_base_defence","Защитить лагерь","На отряд напал противник. Необходимо помочь им отразить нападение.","additional","stalker","",""
85,"esc_defend_stalkers_bus_station","Защитить патруль","Защитить патруль сталкеров в районе автобусной остановки","additional","","1000","ammo_9x18_fmj:ammo_9x18_fmj:ammo_5.45x39_fmj:ammo_5.45x39_fmj:wpn_addon_grenade_launcher:skill_book_ak78u"
86,"red_artefact_huntesr_defend_smart","Защищать сталкеров в аномальной зоне","Защищать сталкеров в аномальной зоне","additional","","","af_cristall_flower"
87,"yan_actor_go_to_red_forest","Идти в Рыжий лес","Работа охлаждающей установки стабилизирована, уровень пси-излучения минимален. Проход к Рыжему лесу безопасен. Необходимо двигаться в сторону Рыжего леса - именно туда направляется Стрелок.","storyline","","",""
88,"red_go_to_military_base","Идти на базу военных","На базе военных есть мощный передатчик, который позволит передать сообщение группе, застрявшей в пространственном пузыре под Лиманском. Необходимо идти на военные склады","storyline","","",""
89,"red_go_to_signal_sos","Идти на сигнал SOS","Дорога к Леснику через Рыжый лес точно не известна. Из Рыжего леса слышен сигнал SOS. Прийти на помощь.","storyline","","",""
90,"esc_additional_quest_6a","Найти КПК","Найти КПК с ценной информацией у военного, погибшего в аномалии","additional","","",""
91,"agr_additional_quest_5a","Найти КПК","Найти КПК","additional","","",""
92,"mil_additional_quest_2","Найти КПК","Отряд сталкеров ночью неожиданно был окружен стаей голодных псов. Не выжил никто. Командир отряда также погиб, а при нём была крайне важная информация. Нужно найти труп комадира и забрать КПК с ценной информацией.","additional","","3000",""
93,"yan_quest_doc","Найти КПК с документами","Группа сталкеров нашла на территории комплекса важные документы, которые могут помочь Сахарову выяснить причину появления мощного пси-излучения на Янтаре. Сигнал группы пропал на выходе с территории комплекса. Необходимо найти КПК с документами.","storyline","","",""
94,"gar_story_chase_pda_signal_cellar","Найти Клыка","Найти Клыка в подвале, следуя за сигналом его КПК","storyline","","",""
95,"val_pursuit_comendant","Найти Коменданта","Найти Коменданта","storyline","","",""
96,"val_find_pda","Найти активный КПК","КПК одного из погибших «свободовцев» все ещё активна. Необходимо найти его: возможно, на нём есть ценная информация.","storyline","","",""
97,"red_find_compass","Найти артефакт «Компас»","В пространственной аномалии, очень похожей на пространственный пузырь, в который попали наёмники, Лесник нашёл уникальный артефакт. На обратном пути его ограбили бандиты и артефакт отобрали. Необходимо найти и вернуть «Компас».","storyline","","",""
98,"val_come_to_freedom_base","Найти базу «Свободы»","По информации диггеров, Клык направился за недостающими деталями в Тёмную долину. Необходимо найти базу «Свободы» и расспросить там о Клыке.","storyline","","",""
99,"lim_electro_fence_find_transformator","Найти генератор","Путь к снайперу преграждён заграждениями под высоким напряжением. В городе давно нет электричества, следовательно ограждения запитываются от автономного источника электроэнергии. Провода от ограждений ведут в здание института справа. Необходимо обнаружить генератор и отключить его.","storyline","","",""
100,"hosp_enter_to_katacomb","Найти дорогу к ЧАЭС","Путь к ЧАЭС лежит через разрушенный госпиталь. Нужно спешить: если Стрелок прошел Выжигатель, он уже очень близок к станции. Необходимо найти вход в катакомбы.","storyline","","",""
101,"val_night_bloodsucker","Найти друга техника","Найти друга техника","additional","","",""
102,"esc_find_flesh_up_ac_ak74u","Найти информацию о балансировке автоматики","Фургону - технику сталкеров у Кордона - необходима информация о балансировке автоматики.","additional","","",""
103,"agr_find_flesh_up_ab_pkm","Найти информацию о балансировке автоматики пулемёта","Техник Громов ищет способ увеличить скорострельность пулемёта путём новой балансировки его механизма. За информацию о ней он готов хорошо заплатить.","additional","","",""
104,"mar_find_flesh_up_ac_mp5","Найти информацию о дульном тормозе","Новиков хочет смастерить специальный дульный тормоз, но знает о принципе их работы слишком мало. Нужно найти для него соответствующую информацию.","additional","","",""
105,"agr_find_flesh_up_ac_desert_eagle","Найти информацию о дульном тормозе для пистолета","Техник сталкеров на Агропроме ищет информацию о дульном тормозе для мощных пистолетов.","additional","","",""
106,"agr_find_flesh_up_cd_pkm","Найти информацию о дульном тормозе для пулемёта","Техник «Долга» работает над усовершенствованным дульным тормозом для пулемёта, но ему не хватает технической информации по этому вопросу.","additional","","",""
107,"val_find_flesh_up_cd_svu","Найти информацию о дульном тормозе для снайперских винтовок","Технику «Свободы» Яру нужна информация об устройстве дульного тормоза для мощных снайперских винтовок - тогда он сможет делать такие же.","additional","","",""
108,"gar_find_flesh_up_fh_scientific_outfit","Найти информацию о замкнутой системе дыхания","Техник с базы бандитов - Прозрачный - способен сделать почти любую модификацию, но для установки на костюм системы дыхания замкнутого цикла ему нужна дополнительная информация.","additional","","",""
109,"mar_find_flesh_up_a_novice_outfit","Найти информацию о кевлавровых бронежилетах","Для улучшения брони Новикову нужна информация о кевлавровых бронежилетах.","additional","","",""
110,"agr_find_flesh_up_abcd_pkm","Найти информацию о модификации газоотвода пулемёта","Громову не хватает совсем немногого для того, чтобы довести характеристики пулемёта до совершенства: немного свободного времени и некоторых технических даннных по газоотводам.","additional","","",""
111,"mar_find_flesh_up_bd_mp5","Найти информацию о модификации ствола","Новиков может сделать насадку на ствол, которая улучшит баллистические характеристики оружия, но у него не хватает данных.","additional","","",""
112,"agr_find_flesh_up_bd_desert_eagle","Найти информацию о модификации ствола для пистолетов","Технику сталкеров не хватает опыта чтобы модифицировать ствол мощного пистолета. Он готов заплатить за нужную информацию.","additional","","",""
113,"agr_find_flesh_up_ac_spas12","Найти информацию о помповых механизмах для боевых дробовиков","Техник сталкеров на Агропроме ищет информацию о помповых механизмах боевых дробовиков.","additional","","",""
114,"esc_find_flesh_up_ac_wincheaster1300","Найти информацию о помповых механизмах для дробовиков","При наличии информации о помповом механизме техник сталкеров сможет значительно увеличить боевой темп стрельбы дробовика.","additional","","",""
115,"val_find_flesh_up_ab_svu","Найти информацию о стволах для снайперских винтовок","Техник группировки «Свобода» - Яр - специалист по точному оружию. Сейчас он ищет информацию о стволах для снайперских винтовок.","additional","","",""
116,"esc_find_flesh_up_bd_wincheaster1300","Найти информацию о электронной стабилизации","Техник сталкеров может собрать устройство, которое увеличит точность боя помпового дробовика, однако ему не хватает технической информации.","additional","","",""
117,"gar_find_flesh_up_aceg_scientific_outfit","Найти информацию об усиленном бронежилете","Нужно принести Прозрачному бутылку и информацию об усиленных армейских бронежилетах, тогда он сможет создать нечто похожее.","additional","","",""
118,"gar_find_flesh_up_bdfh_scientific_outfit","Найти информацию об экранировании костюма","Удивительно, однако Прозрачный никогда не слышал о пси-воздействии. Но если достать для него нужную информацию, он сможет собрать и установить на костюм систему защиты от подобного излучения.","additional","","",""
119,"val_find_flesh_up_abcd_svu","Найти информацию об электронном стабилизаторе для снайперских винтовок","Техник «Свободы» Яр хорошо заплатит за информацию об устройстве электронной стабилизации для снайперских винтовок.","additional","","",""
120,"agr_additional_quest_6a","Найти карту миграции","Найти карту миграции редких монстров Зоны","additional","","",""
121,"lim_find_bridge_squad_comander","Найти командира отряда","Найти командира отряда","additional","","",""
122,"gar_recover_item_2","Найти модифицированное оружие","О! Братан, можешь помочь. Недавно сидели мы у Прозрачного, а он тогда для типа одного ствол клёвый делал - волына то шо надо, все навороты и всё такое. Тока типок тот с паханом нашим чего-то не поделили, и Йога сказал сделать так, чтоб этого фраера долго искали и не нашли. Ну, мы его без лишнего шума в аномалии загнали. Тока вот волына его при нем и осталась. Вот принесешь мне ствол этот, я с Зубом договорюсь, он тебе бабосов нормально отвалит.","additional","bandit","1500","ammo_5.45x39_hm"
123,"agr_additional_quest_3","Найти пропавшего сталкера","Найти пропавшего сталкера","additional","","2000",""
124,"red_find_teleport_2","Найти пространственную аномалию","На КПК погибшей группы были заметки о пути через Рыжий лес. В глубине этого леса находится пространственная аномалия, ведущая к старому каперу на окраине леса. Именно там живёт Лесник. Необходимо обнаружить пространственную аномалию.","storyline","","",""
125,"red_find_teleport","Найти проход в аномальную зону","На КПК погибшей группы были заметки о пути через Рыжий лес. В глубине этого леса находится пространственная аномалия, которая ведет к старому каперу на опушке. Именно там и живёт Лесник. Необходимо найти проход к аномалии.","storyline","","",""
126,"lim_find_way_through_construction","Найти путь через строительную площадку","Окраины Лиманска уже совсем близко. Путь к ним лежит через недостроенный комплекс. Необходимо найти дорогу через стройплощадку.","additional","","",""
127,"agr_no_task","Найти тайник группы сталкеров","На КПК Клыка оказались координаты тайника группы сталкеров, которые побывали в центре Зоны и спровацирововали катаклизм. Это важная зацепка: там может оказатся очень ценная информация. Необходимо найти КПК в тайнике.","storyline","","",""
128,"agru_find_secret_task","Найти тайник группы сталкеров","В подземельях НИИ «Агропром» находится тайник группы сталкеров, которые побывали в центре Зоны. Похоже, через него они обмениваются информацией. Необходимо найти тайник и КПК с этой перепиской","storyline","","",""
129,"stc_follow_to_teleport_1","Найти телепорт, ведущий на теплотрассу","Пространство вокруг станции пронизано телепортами. Чтобы вести огонь по Стрелку, необходимо вернуться на теплотрассу. Найти телепорт, который ведёт обратно к теплотрассе.","additional","","",""
130,"stc_follow_to_teleport_2","Найти телепорт, ведущий на теплотрассу","Пространство вокруг станции пронизано телепортами. Чтобы вести огонь по Стрелку, необходимо вернуться на теплотрассу. Найти телепорт, который ведёт обратно к теплотрассе.","additional","","",""
131,"agr_additional_quest_1","Найти хабар погибшего сталкера","Найти хабар погибшего сталкера","additional","","2000",""
132,"mil_additional_quest_3","Найти хабар пропавшего сталкера","Один из наших снайперов был убит аномалией. Теперь где-то там лежат патроны для снайперской винтовки, которые для нас на вес золота. Если сможешь вернуть их, получишь ценную награду.","additional","freedom","2000",""
133,"yan_actor_destroy_wave2","Не подпускать зомби к сталкерам в ангаре.","Необходимо прикрывать сталкеров в ангаре, пока они работают с клапаном установки. Нельзя подпускать зомби к этой ремонтной команде.","storyline","","",""
134,"yan_actor_destroy_wave1","Не подпускать зомби к сталкерам на крыше.","Необходимо прикрывать сталкеров на крыше, пока они работают с клапаном установки. Нельзя подпускать зомби к этой ремонтной команде.","storyline","","",""
